,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Regional_label,Climate_label
62,540109,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,0.906,0.062,9,2
161,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,4,1
115,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,1.0,18.52,6.21,0.12,0.21,0.67,5,0
49,17654843,322460,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,0.279,0.171,0.55,9,2
184,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.339,0.661,0,2
30,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,3.0,9.65,14.27,0.093,0.304,0.603,3,4
63,4786994,121320,39.5,1.84,0.0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643,9,1
215,3431932,176220,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,3.0,13.91,9.05,0.093,0.311,0.596,4,4
70,199509,91000,2.2,0.42,6.27,12.07,8300.0,83.0,255.6,0.14,0.05,99.81,2.0,20.46,4.88,0.066,0.156,0.778,4,2
97,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261,5,0
176,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.114,0.584,0.302,8,2
146,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736,10,4
29,379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2.0,18.79,3.45,0.036,0.561,0.403,0,2
55,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596,9,0
198,23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723,0,2
204,1065842,5128,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,2.0,12.9,10.57,0.007,0.57,0.423,4,2
106,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547,2,5
159,5670544,462840,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2.0,29.36,7.25,0.353,0.381,0.266,8,2
131,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83,4,2
91,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,2.0,7.29,6.29,0.001,0.092,0.906,0,2
102,2758124,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,2.0,20.82,6.52,0.049,0.337,0.615,4,2
27,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.084,0.4,0.516,4,2
12,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678,10,4
155,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,1.0,36.24,3.81,0.027,0.39,0.583,5,0
23,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363,0,2
202,5548702,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401,9,2
